,cluster,silhouette
366,1,0.6805861592292786
367,2,0.5127545595169067
368,0,0.5861656665802002
369,1,0.543235719203949
370,1,0.5410043001174927
374,2,0.5462210774421692
375,0,0.6678079962730408
376,2,0.37320634722709656
377,1,0.6123393177986145
378,1,0.4391557276248932
379,1,0.5668607354164124
380,1,0.5419943332672119
381,1,0.49215272068977356
382,2,0.534881591796875
383,2,0.5656489133834839
384,2,0.5303095579147339
386,1,0.4370974898338318
387,0,0.5407297611236572
389,0,0.5443438291549683
390,0,0.12716272473335266
391,1,0.5407464504241943
392,0,0.7057217955589294
396,2,0.24309860169887543
397,0,0.09397565573453903
398,0,0.6869619488716125
401,0,0.6034224033355713
402,2,0.5403096079826355
403,2,0.3539526164531708
404,2,0.39662933349609375
405,1,0.5230168700218201
406,2,0.4404800236225128
407,0,0.1332879513502121
408,1,0.662270188331604
409,1,0.5964402556419373
411,2,0.5915890336036682
412,2,0.4956589937210083
413,2,0.5098963975906372
414,0,0.565433144569397
415,0,0.6248733401298523
416,0,0.6247738599777222
417,0,0.6026294231414795
418,1,0.5553776025772095
419,0,0.6160134077072144
420,1,0.495385080575943
422,0,0.6467018723487854
423,2,-0.07014763355255127
425,0,0.48378708958625793
426,2,-0.006677726283669472
427,2,0.5669560432434082
428,2,0.5495462417602539
429,1,0.5503462553024292
430,1,0.6621080040931702
431,2,0.5323898196220398
432,0,0.6083709001541138
433,2,0.07705098390579224
434,1,0.500569760799408
435,2,0.5903401970863342
437,0,0.7098210453987122
438,1,0.5098105669021606
439,2,0.5678792595863342
441,2,0.4889407157897949
442,2,0.45630237460136414
443,2,0.4833551049232483
445,0,0.6698326468467712
446,2,0.4960571825504303
447,0,0.6702010631561279
449,0,0.6160129904747009
451,2,0.17691126465797424
452,1,0.47077348828315735
453,1,0.6001205444335938
455,2,0.5819014310836792
457,0,0.021670324727892876
459,1,0.5238670110702515
461,1,0.601963222026825
462,1,0.5442670583724976
463,2,0.5497361421585083
464,1,0.6005191206932068
465,1,0.6769305467605591
466,2,0.4500540494918823
467,1,0.5235514044761658
469,2,0.448641836643219
470,2,0.47838714718818665
471,2,-0.03167669475078583
475,1,0.5881052017211914
477,0,0.6703878045082092
478,1,0.598576009273529
479,2,0.5072941780090332
480,0,0.6500372886657715
481,1,0.5630640983581543
482,0,0.6073015332221985
483,0,0.7140035629272461
484,0,0.6274616122245789
485,0,0.6169396042823792
486,0,0.6985443234443665
487,2,0.11057983338832855
488,0,0.6551538109779358
489,0,0.572372317314148
490,0,0.5811507701873779
491,0,0.5257813334465027
492,0,0.6858920454978943
493,2,0.17876829206943512
494,0,0.5365216135978699
495,2,0.5338720679283142
496,0,0.5921222567558289
497,2,0.5527024865150452
498,0,0.5855284333229065
499,0,0.638258695602417
500,2,0.43914422392845154
501,2,-0.038464758545160294
502,2,0.537013590335846
503,0,0.6362130641937256
504,0,0.6604270339012146
505,2,0.5323095321655273
506,2,0.21445417404174805
507,2,0.428043931722641
508,0,0.6724931001663208
509,2,0.473985493183136
510,0,0.6127398610115051
511,2,0.3093937933444977
512,0,0.6124953031539917
513,2,0.411495566368103
515,2,0.4396619200706482
516,2,0.493673175573349
517,2,-0.026777632534503937
518,2,0.5251386761665344
520,0,0.6687292456626892
521,1,0.5026679039001465
523,1,0.5837467908859253
524,2,0.5340153574943542
526,2,0.509027361869812
527,2,0.5895369648933411
528,2,0.3755384087562561
529,0,0.6781816482543945
530,1,0.5194969177246094
531,2,0.5262606143951416
532,2,0.5559459924697876
533,1,0.5992887020111084
535,1,0.640657365322113
536,1,0.587426483631134
537,2,0.17691196501255035
538,2,0.5261576771736145
541,0,0.530512273311615
542,0,0.6360374093055725
543,1,0.52703857421875
544,2,0.5694991946220398
545,1,0.6232205033302307
546,1,0.6676346063613892
547,1,0.6298792362213135
548,0,0.6264070868492126
549,1,0.6828628778457642
550,1,0.6646532416343689
551,1,0.6634092330932617
553,1,0.4472677707672119
554,0,0.5590289831161499
555,2,0.17733389139175415
556,0,0.6616079211235046
557,0,0.5378945469856262
558,2,0.5913819074630737
559,0,0.6102869510650635
560,2,0.4551491439342499
561,1,0.67771315574646
563,2,0.07744650542736053
564,2,0.5254033207893372
565,0,0.6409245729446411
566,0,0.6624000668525696
567,2,0.5330591201782227
569,0,0.5379285216331482
570,2,0.41228365898132324
571,0,0.624561071395874
572,0,0.6759403944015503
573,1,0.6327579617500305
574,2,0.38442230224609375
575,0,0.6052380800247192
578,0,0.6474081873893738
579,2,0.5517440438270569
580,2,0.5891318321228027
581,0,0.6619284152984619
582,0,0.6717419624328613
583,1,0.668495774269104
584,0,0.6109971404075623
586,0,0.6498167514801025
588,1,0.6614952087402344
589,2,0.386116087436676
590,1,0.6065801978111267
591,2,0.12422897666692734
592,0,0.6486603617668152
593,2,0.5640666484832764
594,2,0.500042200088501
595,2,0.10398653894662857
596,2,0.4526931047439575
597,1,0.4810229539871216
598,0,0.6350871920585632
599,0,0.6659266352653503
600,0,0.6985964775085449
601,0,0.6139753460884094
603,2,0.07778380066156387
604,0,0.6942510604858398
605,0,0.6832323670387268
606,0,0.6963221430778503
607,1,0.6663549542427063
608,0,0.5981752276420593
609,2,0.33620166778564453
610,0,0.631766676902771
611,2,0.37215712666511536
612,2,0.5200890898704529
613,2,0.16774465143680573
614,2,0.10152384638786316
615,2,-0.06937966495752335
616,2,0.38919034600257874
617,0,0.6358254551887512
618,2,0.4408109486103058
620,2,0.504879891872406
621,2,0.45028358697891235
622,0,0.5808149576187134
623,2,0.008678342215716839
624,2,0.4500708281993866
625,1,0.4976915717124939
627,1,0.5856878161430359
628,2,0.42760148644447327
629,2,0.42331141233444214
630,2,0.46008920669555664
